
iswin: false	|| HP1:-392 || HP2:-375 || DIFF:17 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-433 || HP2:-260 || DIFF:173 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-500 || HP2:-365 || DIFF:135 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-213 || HP2:-277 || DIFF:64 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-362 || HP2:-307 || DIFF:55 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-636 || HP2:-241 || DIFF:395 || P1:JohnCobraBot	|| P2:Thunder
iswin: false	|| HP1:-500 || HP2:-235 || DIFF:265 || P1:JohnCobraBot	|| P2:Thunder
iswin: true	|| HP1:-356 || HP2:-527 || DIFF:171 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-246 || HP2:-294 || DIFF:48 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-306 || HP2:-307 || DIFF:1 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-57 || HP2:-80 || DIFF:23 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-424 || HP2:-441 || DIFF:17 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-314 || HP2:-321 || DIFF:7 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-306 || HP2:-483 || DIFF:177 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-298 || HP2:-272 || DIFF:26 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-364 || HP2:-397 || DIFF:33 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-385 || HP2:-494 || DIFF:109 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-345 || HP2:-248 || DIFF:97 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-368 || HP2:-224 || DIFF:144 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-297 || HP2:-322 || DIFF:25 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-198 || HP2:-370 || DIFF:172 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-258 || HP2:-337 || DIFF:79 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-216 || HP2:-154 || DIFF:62 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-342 || HP2:-355 || DIFF:13 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-288 || HP2:-219 || DIFF:69 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-236 || HP2:-198 || DIFF:38 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-323 || HP2:-516 || DIFF:193 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-329 || HP2:-221 || DIFF:108 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-212 || HP2:-414 || DIFF:202 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-267 || HP2:-238 || DIFF:29 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-292 || HP2:-320 || DIFF:28 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-319 || HP2:-302 || DIFF:17 || P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-352	|| HP2:-634	|| DIFF:282	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-281	|| HP2:-345	|| DIFF:64	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-220	|| HP2:-527	|| DIFF:307	|| P1:JohnCobraBot	|| P2:SimpleAI
